title,price,rating,rating_distribution,link
Procesor AMD Ryzen 9 7950X 4.5GHz box,"2.909,99 RON",4.67,"{5: 2, 4: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-9-7950x-45ghz-box/
Procesor AMD Ryzen 9 7900X 4.7GHz box,"2.099,99 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900x-47ghz-box/
Procesor AMD Ryzen 5 5600G 3.9GHz box,"774,99 RON",4.96,"{5: 23, 4: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600g-39ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i9 14900KS 3.2GHz box","3.879,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i9-14900ks-32ghz-box/
Procesor AMD Ryzen 9 5900X 3.7GHz box,"1.457,99 RON",4.94,"{5: 32, 3: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-9-5900x-37ghz-box/
"Procesor Intel Comet Lake, Core i5 10400F 2.9GHz box","529,99 RON",5,{5: 25},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i5-10400f-29ghz-box/
Procesor AMD Ryzen 5 4500 3.6GHz box,"399,99 RON",5,{5: 5},https://www.pcgarage.ro/procesoare/amd/ryzen-5-4500-36ghz-box/
"Procesor Intel Raptor Lake, Core i5 13400 2.5GHz box","1.115,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i5-13400-25ghz-box/
"Procesor Intel Raptor Lake, Core i7 13700K 3.4GHz box","1.844,99 RON",5,{5: 8},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i7-13700k-34ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i7 14700 3.4Hz box","2.149,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i7-14700-34hz-box/
"Procesor Intel Alder Lake, Core i3 12100 3.3GHz box","594,99 RON",4.75,"{5: 3, 4: 1}",https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i3-12100-33ghz-box/
Procesor AMD Ryzen 7 5700G 3.8GHz box,"1.079,99 RON",4.83,"{5: 5, 4: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-7-5700g-38ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i5 14400 2.5GHz box","1.249,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i5-14400-25ghz-box/
Procesor AMD Ryzen 7 8700G 4.2GHz box,"1.592,49 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-8700g-42ghz-box/
"Procesor Intel Raptor Lake, Core i5 13600KF 3.5GHz box","1.303,79 RON",4.82,"{5: 10, 3: 1}",https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i5-13600kf-35ghz-box/
Procesor AMD Ryzen 7 7700 3.8GHz box,"1.699,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/amd/ryzen-7-7700-38ghz-box/
Procesor AMD Ryzen 9 7900 3.7GHz box,"1.999,99 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900-37ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i3 14100F 3.5GHz box","592,76 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i3-14100f-35ghz-box/
Procesor AMD Ryzen 3 3200G 3.6GHz box,"349,99 RON",5,{5: 17},https://www.pcgarage.ro/procesoare/amd/ryzen-3-3200g-36ghz-box/
