title,price,rating,rating_distribution,link
Procesor AMD Ryzen 3 4300GE 3.5GHz + GIGABYTE A520M DS3H (Starter KIT),"1.149,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/amd/ryzen-3-4300ge-35ghz-plus-gigabyte-a520m-ds3h-starter-kit/
Procesor AMD Ryzen 7 8700F 4.1 GHz MPK,"1.159,21 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-8700f-41-ghz-mpk/
"Procesor Intel Comet Lake, Core i7 10700F 2.9GHz box","1.198,09 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i7-10700f-29ghz-box/
"Procesor Intel Comet Lake, Core i5 10500 3.1GHz box","1.241,65 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i5-10500-31ghz-box/
"Procesor Intel Rocket Lake, Core i5 11500 2.7GHz box","1.241,65 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11500-27ghz-box/
Procesor AMD Ryzen 3 2300X 3.5GHz MPK,"1.247,38 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-2300x-35ghz-mpk/
Procesor AMD Ryzen 5 1500X 3.5GHz MPK,"1.257,58 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-1500x-35ghz-mpk/
Procesor AMD Ryzen 5 7600 3.8GHz tray,"1.259,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-7600-38ghz-tray/
Procesor AMD Ryzen 7 7700 3.8GHz MPK,"1.264,35 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-7700-38ghz-mpk/
"Procesor Intel Rocket Lake, Core i5 11600KF 3.9GHz box","1.274,99 RON",3.5,"{5: 1, 2: 1}",https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11600kf-39ghz-box/
Procesor AMD Ryzen 3 4300GE 3.5GHz MPK,"1.283,91 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-4300ge-35ghz-mpk/
"Procesor Intel Comet Lake, Core i5 10600K 4.1GHz box","1.301,63 RON",5,{5: 8},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i5-10600k-41ghz-box/
"Procesor Intel Raptor Lake, Core i5 13500 2.5GHz tray","1.309,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i5-13500-25ghz-tray/
Procesor AMD Ryzen 5 7600X 4.7GHz tray,"1.344,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-7600x-47ghz-tray/
"Procesor Intel Comet Lake, Core i7 10700 2.9GHz box","1.347,88 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i7-10700-29ghz-box/
Procesor AMD Ryzen 5 2600 3.4GHz MPK,"1.357,58 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-2600-34ghz-mpk/
Procesor AMD Ryzen 5 3600 3.6GHz MPK,"1.358,44 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-3600-36ghz-mpk/
Procesor AMD Ryzen 5 2500X 3.6GHz MPK,"1.368,98 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-2500x-36ghz-mpk/
"Procesor Intel Comet Lake, Core i5 10600 3.3GHz box","1.373,61 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i5-10600-33ghz-box/
"Procesor Intel Rocket Lake, Core i5 11600 2.8GHz box","1.373,61 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11600-28ghz-box/
Procesor AMD Ryzen 5 2600 3.4GHz Tray,"1.427,86 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-2600-34ghz-tray/
"Procesor Intel Alder Lake, Core i5 12600 3.3GHz box","1.437,70 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12600-33ghz-box/
"Procesor Intel Rocket Lake, Core i5 11600K 3.9GHz box","1.457,59 RON",5,{5: 7},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11600k-39ghz-box/
"Procesor Intel Rocket Lake, Core i7 11700 2.5GHz box","1.529,57 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i7-11700-25ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i5 14600 2.7GHz tray","1.557,21 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i5-14600-27ghz-tray/
Procesor AMD Ryzen 7 2700 3.2GHz MPK,"1.585,10 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-2700-32ghz-tray-multipack/
Procesor AMD Ryzen 7 PRO 4750G 3.6GHz MPK,"1.611,31 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-pro-4750g-36ghz-mpk/
"Procesor Intel Comet Lake, Core i7 10700KF 3.8GHz box","1.791,17 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i7-10700kf-38ghz-box/
Procesor AMD Ryzen 7 PRO 5750G 3.6GHz MPK,"1.799,28 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-pro-5750g-36ghz-mpk/
Procesor AMD Ryzen 9 7900 3.7GHz MPK,"1.805,37 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900-37ghz-mpk/
Procesor AMD Ryzen 7 2700X Gold Edition 3.7GHz box,"1.817,13 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/amd/ryzen-7-2700x-gold-edition-37ghz-box/
Procesor AMD Ryzen 5 5600G 3.9GHz MPK,"1.864,40 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600g-39ghz-mpk/
Procesor AMD Ryzen 5 PRO 5650G 3.9GHz MPK,"1.864,40 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-pro-5650g-39ghz-mpk/
"Procesor Intel Rocket Lake, Core i7 11700KF 3.6GHz box","1.877,91 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i7-11700kf-36ghz-box/
Procesor AMD Ryzen 7 7700X 4.5GHz tray,"1.889,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-7700x-45ghz-tray/
"Procesor Intel Comet Lake, Core i9 10900KF 3.7GHz box","1.919,30 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i9-10900kf-37ghz-box/
"Procesor Intel Raptor Lake, Core i7 13700F 2.1GHz tray","1.969,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i7-13700f-21ghz-tray/
Procesor AMD Ryzen 7 2700X 3.7GHz MPK,"1.978,67 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-2700x-37ghz-mpk/
Procesor AMD Ryzen 5 5600X 3.7GHz tray,"1.999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600x-37ghz-tray/
"Procesor Intel Rocket Lake, Core i7 11700K 3.6GHz box","2.035,66 RON",4.83,"{5: 5, 4: 1}",https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i7-11700k-36ghz-box/
"Procesor Intel Comet Lake, Core i7 10700K 3.8GHz box","2.219,99 RON",5,{5: 6},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i7-10700k-38ghz-box/
"Procesor Intel Comet Lake, Core i9 10900F 2.8GHz box","2.228,54 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i9-10900f-28ghz-box/
"Procesor Intel Comet Lake, Core i9 10900 2.8GHz box","2.377,11 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i9-10900-28ghz-box/
"Procesor Intel Rocket Lake, Core i9 11900KF 3.5GHz box","2.397,73 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i9-11900kf-35ghz-box/
"Procesor Intel Rocket Lake, Core i9 11900 2.5GHz box","2.399,99 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i9-11900-25ghz-box/
Procesor AMD Ryzen 9 7900X 4.7GHz Tray,"2.399,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900x-47ghz-tray/
"Procesor Intel Rocket Lake, Core i9 11900F 2.5GHz box","2.403,63 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i9-11900f-25ghz-box/
"Procesor Intel Alder Lake, Core i9 12900KS 3.4GHz box","2.427,37 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i9-12900ks-34ghz-box/
"Procesor Intel Rocket Lake, Core i9 11900K 3.5GHz box","2.557,93 RON",4.6,"{5: 9, 1: 1}",https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i9-11900k-35ghz-box/
"Procesor Intel Comet Lake, Core i9 10900K 3.7GHz box","2.619,99 RON",5,{5: 5},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i9-10900k-37ghz-box/
Procesor AMD Ryzen 7 5700G 3.8GHz MPK,"2.621,81 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-5700g-38ghz-mpk/
Procesor AMD Ryzen 9 7900X3D 4.4GHz Tray,"2.954,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900x3d-44ghz-tray/
Procesor AMD Ryzen 7 5800X 3.8GHz tray,"2.999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-5800x-38ghz-tray/
"Procesor Intel Raptor Lake, Core i9 13900F 2.0GHz box","3.092,15 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i9-13900f-20ghz-box/
Procesor AMD Ryzen 9 7950X 4.5GHz tray,"3.209,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7950x-45ghz-tray/
"Procesor Intel Cascade Lake X, Core i9 10900X 3.7GHz box","3.654,80 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/cascade-lake-x-core-i9-10900x-37ghz-box/
Procesor AMD Ryzen 9 7950X3D 4.2GHz Tray,"3.784,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7950x3d-42ghz-tray/
"Procesor Intel Cascade Lake X, Core i9 10920X 3.5GHz box","4.272,85 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/cascade-lake-x-core-i9-10920x-35ghz-box/
Procesor AMD Ryzen 9 5950X 3.4GHz tray,"4.299,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-9-5950x-34ghz-tray/
"Procesor Intel Cascade Lake X, Core i9 10940X 3.3GHz box","4.867,12 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/cascade-lake-x-core-i9-10940x-33ghz-box/
"Procesor Intel Cascade Lake X, Core i9 10980XE Extreme Edition 3.0GHz box","6.097,28 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/cascade-lake-x-core-i9-10980xe-extreme-edition-30ghz-box/
Procesor AMD Ryzen Threadripper PRO 3955WX 3.9GHz tray,"6.999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-3955wx-39ghz-tray/
Procesor AMD Ryzen Threadripper PRO 7965WX 4.2Ghz box,"14.559,77 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-7965wx-42ghz-box/
Procesor AMD Ryzen Threadripper PRO 7975WX 4.0Ghz box,"21.259,95 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-7975wx-40ghz-box/
Procesor AMD Ryzen Threadripper 7980X 3.2Ghz box,"27.377,50 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-7980x-32ghz-box/
Procesor AMD Ryzen Threadripper PRO 7985WX 3.2Ghz box,"40.777,85 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-7985wx-32ghz-box/
Procesor AMD Ryzen Threadripper PRO 7995WX 2.5Ghz box,"56.217,38 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-7995wx-25ghz-box/
